temp_C,soc,days,reported,predicted,error_pct,in_dist_error_pct,edge_error_pct
40.0,0.625,53.56666666666666,0.977775889282049,0.9466114292408834,-3.1872804783567217,-3.1872804783567217,
40.0,0.75,53.56666666666666,0.968769783820122,0.9466114292408834,-2.2872673104916883,-2.2872673104916883,
40.0,0.875,53.56666666666666,0.9592807598921748,0.9145782867854133,-4.659998925839616,-4.659998925839616,
40.0,1.0,53.56666666666666,0.9601873355512616,0.9145782867854133,-4.750015656024378,-4.750015656024378,
60.0,0.0,53.56666666666666,0.984323464340092,0.8911100732890711,-9.469792647228298,,-9.469792647228298
60.0,0.5,53.56666666666666,0.9468951037482668,0.8185167888151185,-13.557818012255543,,-13.557818012255543
60.0,1.0,53.56666666666666,0.9263793625385977,0.7096268621041896,-23.397811868393937,,-23.397811868393937
0.0,0.5,81.04166666666667,0.9936405505743828,0.9966800625592667,0.30589653201319317,0.30589653201319317,
10.0,0.5,81.04166666666667,0.991385959958792,0.9924225988778091,0.10456461568814866,0.10456461568814866,
25.0,0.0,81.04166666666667,0.9967887060345983,0.9858687583069835,-1.0955127863613467,-1.0955127863613467,
25.0,0.5,81.04166666666667,0.9865287653902138,0.9764479305116391,-1.0218490562297289,-1.0218490562297289,
25.0,1.0,81.04166666666667,0.9663339743043948,0.9623166888186226,-0.41572433471191794,-0.41572433471191794,
40.0,0.0,81.04166666666667,0.9960248203065112,0.9605990751499947,-3.5567130892998033,-3.5567130892998033,
40.0,0.125,81.04166666666667,0.990433781037812,0.9605990751499947,-3.0122867837318172,-3.0122867837318172,
40.0,0.25,81.04166666666667,0.9819774219190376,0.9605990751499947,-2.1770711109899166,-2.1770711109899166,
40.0,0.375,81.04166666666667,0.9756059702185764,0.9605990751499947,-1.5382127136039976,-1.5382127136039976,
40.0,0.5,81.04166666666667,0.9767363609526872,0.9343317919166577,-4.341454944368921,-4.341454944368921,
40.0,0.625,81.04166666666667,0.9727740380223252,0.9343317919166577,-3.951816619594574,-3.951816619594574,
40.0,0.75,81.04166666666667,0.9634579162930024,0.9343317919166577,-3.023082158939566,-3.023082158939566,
40.0,0.875,81.04166666666667,0.952505284359706,0.8949308670666524,-6.044524711666708,-6.044524711666708,
40.0,1.0,81.04166666666667,0.953223141402846,0.8949308670666524,-6.1152810715868355,-6.1152810715868355,
60.0,0.0,81.04166666666667,0.981077438681663,0.8660648475177223,-11.723090005870539,,-11.723090005870539
60.0,0.5,81.04166666666667,0.9359664168730648,0.7767747458628704,-17.008267405793458,,-17.008267405793458
60.0,1.0,81.04166666666667,0.9135106359880244,0.6428395933805926,-29.629763676991296,,-29.629763676991296
0.0,0.5,107.46666666666664,0.9928304789430704,0.9961769268537882,0.33706135958681593,0.33706135958681593,
10.0,0.5,107.46666666666664,0.9900066452832677,0.9912742455948436,0.12803957605892805,0.12803957605892805,
25.0,0.0,107.46666666666664,0.995912145303826,0.9837271720917532,-1.2234988065493955,-1.2234988065493955,
25.0,0.5,107.46666666666664,0.9846354823472484,0.9728786201529219,-1.1940319443190877,-1.1940319443190877,
25.0,1.0,107.46666666666664,0.9614193141382869,0.9566057922446751,-0.5006683163969982,-0.5006683163969982,
40.0,0.0,107.46666666666664,0.9944798293975492,0.9546278746455268,-4.007316546195263,-4.007316546195263,
40.0,0.125,107.46666666666664,0.98778012080268,0.9546278746455268,-3.3562374316880694,-3.3562374316880694,
